%Alpha	CL	CD	CM
-180	0	0	0
-175	0.1736	0.01142	0.0218
-170	0.342	0.04523	0.0434
-165	0.5	0.1005	0.0647
-160	0.6428	0.1755	0.0855
-155	0.766	0.26792	0.1057
-150	0.866	0.375	0.125
-145	0.9397	0.4935	0.1434
-140	0.9848	0.61973	0.1607
-135	1	0.75	0.1768
-130	0.9848	0.88027	0.1915
-125	0.9397	1.0065	0.2048
-120	0.866	1.125	0.2165
-115	0.766	1.23208	0.2266
-110	0.6428	1.3245	0.2349
-105	0.5	1.3995	0.2415
-100	0.342	1.45477	0.2462
-95	0.1736	1.48858	0.249
-90	0	1.5	0.25
-85	-0.1736	1.48858	0.249
-80	-0.342	1.45477	0.2462
-75	-0.5	1.3995	0.2415
-70	-0.6428	1.3245	0.2349
-65	-0.766	1.23208	0.2266
-60	-0.866	1.125	0.2165
-55	-0.9397	1.0065	0.2048
-50	-0.9848	0.88027	0.1915
-45	-1	0.75	0.1768
-40	-1.0316	0.60946	0.1416
-39	-1.0439	0.58454	0.1346
-38	-1.0462	0.55165	0.1276
-37	-1.0485	0.52673	0.1205
-36	-1.0508	0.49373	0.1135
-35	-1.0531	0.46085	0.1065
-34	-1.0554	0.42785	0.0894
-33	-1.0677	0.38688	0.0824
-32	-0.97263	0.30471	0.06599
-30	-1.03173	0.25621	0.04855
-28	-1.09084	0.20772	0.03112
-26	-1.11013	0.175	0.01822
-24	-1.12942	0.14228	0.00532
-22	-1.12328	0.11834	-0.00294
-20	-1.11713	0.0944	-0.0112
-18	-1.08699	0.07723	-0.01443
-16	-1.05686	0.06006	-0.01766
-14	-1.02382	0.04677	-0.01711
-12	-0.99079	0.03348	-0.01656
-10	-0.85935	0.02423	-0.02787
-8	-0.72792	0.01498	-0.03917
-6	-0.46901	0.01262	-0.05303
-4	-0.2101	0.01027	-0.0669
-2	0.04275	0.00992	-0.07425
0	0.29561	0.00957	-0.08161
2	0.54353	0.00975	-0.08728
4	0.78667	0.01027	-0.092
6	1.02284	0.01117	-0.09556
8	1.24738	0.01265	-0.09749
10	1.45749	0.01464	-0.09761
12	1.64221	0.01752	-0.09489
14	1.78216	0.02266	-0.08924
16	1.81435	0.03567	-0.0819
18	1.68988	0.06469	-0.07925
20	1.55837	0.10058	-0.08487
22	1.47886	0.13814	-0.0955
24	1.39934	0.1757	-0.10613
26	1.33943	0.21851	-0.11979
28	1.27952	0.26132	-0.13345
30	1.21525	0.31437	-0.14912
32	1.15098	0.36743	-0.16479
33	1.2108	0.47515	-0.1766
34	1.1825	0.50827	-0.1806
35	1.164	0.54104	-0.1847
36	1.1352	0.57369	-0.1887
37	1.1165	0.59804	-0.1926
38	1.0977	0.63046	-0.1965
39	1.0788	0.65446	-0.2004
40	1.0597	0.67846	-0.2043
45	1.0043	0.79604	-0.2133
50	0.9756	0.89596	-0.21837
55	0.9208	1.01042	-0.22143
60	0.866	1.125	-0.2255
65	0.766	1.23208	-0.2306
70	0.6428	1.3245	-0.2349
75	0.5	1.3995	-0.2415
80	0.342	1.45477	-0.2462
85	0.1736	1.48858	-0.249
90	0	1.5	-0.25
95	-0.1736	1.48858	-0.249
100	-0.342	1.45477	-0.2462
105	-0.5	1.3995	-0.2415
110	-0.6428	1.3245	-0.2349
115	-0.766	1.23208	-0.2266
120	-0.866	1.125	-0.2165
125	-0.9397	1.0065	-0.2048
130	-0.9848	0.88027	-0.1915
135	-1	0.75	-0.1768
140	-0.9848	0.61973	-0.1607
145	-0.9397	0.4935	-0.1434
150	-0.866	0.375	-0.125
155	-0.766	0.26792	-0.1057
160	-0.6428	0.1755	-0.0855
165	-0.5	0.1005	-0.0647
170	-0.342	0.04523	-0.0434
175	-0.1736	0.01142	-0.0218
180	0	0	0
